Name,External ID,Control ID,Statement ID,Control Question
CP-1(b) Policy and Procedures,cp-1_smt.b,cp-1,cp-1_smt.b,"Designate an [official] to manage the development, documentation, and dissemination of the contingency planning policy and procedures; and"
CP-1(c) Policy and Procedures,cp-1_smt.c,cp-1,cp-1_smt.c,Review and update the current contingency planning: 1. Policy [frequency] and following [events] ; and 2. Procedures [frequency] and following [events].
CP-2(a) Contingency Plan,cp-2_smt.a,cp-2,cp-2_smt.a,"Develop a contingency plan for the system that: 1. Identifies essential mission and business functions and associated contingency requirements; 2. Provides recovery objectives, restoration priorities, and metrics; 3. Addresses contingency roles, responsibilities, assigned individuals with contact information; 4. Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure; 5. Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented; 6. Addresses the sharing of contingency information; and 7. Is reviewed and approved by [organization-defined personnel or roles];"
CP-2(b) Contingency Plan,cp-2_smt.b,cp-2,cp-2_smt.b,Distribute copies of the contingency plan to [organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
CP-2(c) Contingency Plan,cp-2_smt.c,cp-2,cp-2_smt.c,Coordinate contingency planning activities with incident handling activities;
CP-2(d) Contingency Plan,cp-2_smt.d,cp-2,cp-2_smt.d,Review the contingency plan for the system [frequency];
CP-2(e) Contingency Plan,cp-2_smt.e,cp-2,cp-2_smt.e,"Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;"
CP-2(f) Contingency Plan,cp-2_smt.f,cp-2,cp-2_smt.f,Communicate contingency plan changes to [organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
CP-2(g) Contingency Plan,cp-2_smt.g,cp-2,cp-2_smt.g,"Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and"
CP-2(h) Contingency Plan,cp-2_smt.h,cp-2,cp-2_smt.h,Protect the contingency plan from unauthorized disclosure and modification.
CP-3(a) Contingency Training,cp-3_smt.a,cp-3,cp-3_smt.a,Provide contingency training to system users consistent with assigned roles and responsibilities: 1. Within [time period] of assuming a contingency role or responsibility; 2. When required by system changes; and 3. [frequency] thereafter; and
CP-3(b) Contingency Training,cp-3_smt.b,cp-3,cp-3_smt.b,Review and update contingency training content [frequency] and following [events].
CP-4(a) Contingency Plan Testing,cp-4_smt.a,cp-4,cp-4_smt.a,Test the contingency plan for the system [frequency] using the following tests to determine the effectiveness of the plan and the readiness to execute the plan: [organization-defined tests].
CP-4(b) Contingency Plan Testing,cp-4_smt.b,cp-4,cp-4_smt.b,Review the contingency plan test results; and
CP-4(c) Contingency Plan Testing,cp-4_smt.c,cp-4,cp-4_smt.c,"Initiate corrective actions, if needed."
CP-9(a) System Backup,cp-9_smt.a,cp-9,cp-9_smt.a,Conduct backups of user-level information contained in [system components] [frequency];
CP-9(b) System Backup,cp-9_smt.b,cp-9,cp-9_smt.b,Conduct backups of system-level information contained in the system [frequency];
CP-9(c) System Backup,cp-9_smt.c,cp-9,cp-9_smt.c,"Conduct backups of system documentation, including security- and privacy-related documentation [frequency] ; and"
CP-9(d) System Backup,cp-9_smt.d,cp-9,cp-9_smt.d,"Protect the confidentiality, integrity, and availability of backup information."
CP-10 System Recovery and Reconstitution,cp-10,cp-10,,"Provide for the recovery and reconstitution of the system to a known state within [organization-defined time period consistent with recovery time and recovery point objectives] after a disruption, compromise, or failure."
IA-1(a) Policy and Procedures,ia-1_smt.a,ia-1,ia-1_smt.a,"Develop, document, and disseminate to [organization-defined personnel or roles]: 1. [organization-level | mission/business process-level | system-level] identification and authentication policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the identification and authentication policy and the associated identification and authentication controls;"
IA-1(b) Policy and Procedures,ia-1_smt.b,ia-1,ia-1_smt.b,"Designate an [official] to manage the development, documentation, and dissemination of the identification and authentication policy and procedures; and"
IA-1(c) Policy and Procedures,ia-1_smt.c,ia-1,ia-1_smt.c,Review and update the current identification and authentication: 1. Policy [frequency] and following [events] ; and 2. Procedures [frequency] and following [events].
IA-2 Identification and Authentication (Organizational Users),ia-2,ia-2,,"Uniquely identify and authenticate organizational users and associate that unique identification with processes acting on behalf of those users. Requirement: For all control enhancements that specify multifactor authentication, the implementation must adhere to the Digital Identity Guidelines specified in NIST Special Publication 800-63B. Requirement: Multi-factor authentication must be phishing-resistant."
IA-2.1 Multi-factor Authentication to Privileged Accounts,ia-2.1,ia-2.1,,"Implement multi-factor authentication for access to privileged accounts. Requirement: According to SP 800-63-3, SP 800-63A (IAL), SP 800-63B (AAL), and SP 800-63C (FAL). Requirement: Multi-factor authentication must be phishing-resistant."
IA-2.2 Multi-factor Authentication to Non-privileged Accounts,ia-2.2,ia-2.2,,"Implement multi-factor authentication for access to non-privileged accounts. Requirement: According to SP 800-63-3, SP 800-63A (IAL), SP 800-63B (AAL), and SP 800-63C (FAL). Requirement: Multi-factor authentication must be phishing-resistant."
IA-2.8 Access to Accounts — Replay Resistant,ia-2.8,ia-2.8,,Implement replay-resistant authentication mechanisms for access to [privileged accounts | non-privileged accounts].
